snapshot_time,party_date,event_id,event_name,event_type,status,show_start_time,show_end_time,source_last_updated
2026-08-15T22:49:27.365526-04:00,2026-08-15,6d74b3d9-f977-4c9b-8114-93969b51b105,Hocus Pocus Villain Spelltacular,SHOW,OPERATING,2026-08-14T21:05:00-04:00,2026-08-14T21:05:00-04:00,2026-08-14T04:03:35.882Z
2026-08-15T22:49:27.365526-04:00,2026-08-15,6d74b3d9-f977-4c9b-8114-93969b51b105,Hocus Pocus Villain Spelltacular,SHOW,OPERATING,2026-08-14T22:35:00-04:00,2026-08-14T22:35:00-04:00,2026-08-14T04:03:35.882Z
2026-08-15T22:49:27.365526-04:00,2026-08-15,6d74b3d9-f977-4c9b-8114-93969b51b105,Hocus Pocus Villain Spelltacular,SHOW,OPERATING,2026-08-14T23:59:00-04:00,2026-08-14T23:59:00-04:00,2026-08-14T04:03:35.882Z
2026-08-15T22:49:27.365526-04:00,2026-08-15,a74421f2-5de4-4425-bd06-8b4639b29826,Meet Festive Disney Pals at Mickey’s Not-So-Scary Halloween Party,SHOW,CLOSED,,,2026-08-15T06:05:52.506Z
2026-08-15T22:49:27.365526-04:00,2026-08-15,ee56b2f3-fd49-4a29-ae1a-2d321549a633,Disney Festival of Fantasy Parade,SHOW,OPERATING,2026-08-15T14:00:00-04:00,2026-08-15T14:00:00-04:00,2026-08-15T04:04:23.012Z
2026-08-15T22:49:27.365526-04:00,2026-08-15,c1f39c15-7845-46b5-b6fd-2ae368a32a37,Captain Jack’s Buccaneer Bash at Mickey’s Not-So-Scary Halloween Party,SHOW,OPERATING,2026-08-14T19:00:00-04:00,2026-08-15T00:00:00-04:00,2026-08-14T04:03:36.157Z
2026-08-15T22:49:27.365526-04:00,2026-08-15,97c837c3-4a0f-4d52-b93c-074cf31d6f41,Stitch’s Masquerade Mashup at Mickey’s Not-So-Scary Halloween Party,SHOW,OPERATING,2026-08-14T19:00:00-04:00,2026-08-15T00:00:00-04:00,2026-08-14T04:03:36.164Z
2026-08-15T22:49:27.365526-04:00,2026-08-15,51392ca4-f824-42d8-8808-8110ec8e0e22,"Main Street Philharmonic at Main Street, U.S.A.",SHOW,OPERATING,2026-08-15T12:25:00-04:00,2026-08-15T12:25:00-04:00,2026-08-15T04:04:23.288Z
2026-08-15T22:49:27.365526-04:00,2026-08-15,51392ca4-f824-42d8-8808-8110ec8e0e22,"Main Street Philharmonic at Main Street, U.S.A.",SHOW,OPERATING,2026-08-15T13:35:00-04:00,2026-08-15T13:35:00-04:00,2026-08-15T04:04:23.288Z
2026-08-15T22:49:27.365526-04:00,2026-08-15,51392ca4-f824-42d8-8808-8110ec8e0e22,"Main Street Philharmonic at Main Street, U.S.A.",SHOW,OPERATING,2026-08-15T14:35:00-04:00,2026-08-15T14:35:00-04:00,2026-08-15T04:04:23.288Z
2026-08-15T22:49:27.365526-04:00,2026-08-15,51392ca4-f824-42d8-8808-8110ec8e0e22,"Main Street Philharmonic at Main Street, U.S.A.",SHOW,OPERATING,2026-08-15T15:35:00-04:00,2026-08-15T15:35:00-04:00,2026-08-15T04:04:23.288Z
2026-08-15T22:49:27.365526-04:00,2026-08-15,86c198b0-7c02-4354-814a-27ad70067d45,Disney Enchantment at Disney After Hours at Magic Kingdom,SHOW,CLOSED,,,2026-07-28T04:04:15.245Z
2026-08-15T22:49:27.365526-04:00,2026-08-15,d69261dc-62b8-434c-83bd-93649b43c408,Disney Starlight: Dream the Night Away,SHOW,OPERATING,2026-08-15T21:00:00-04:00,2026-08-15T21:00:00-04:00,2026-08-15T04:04:23.174Z
2026-08-15T22:49:27.365526-04:00,2026-08-15,d69261dc-62b8-434c-83bd-93649b43c408,Disney Starlight: Dream the Night Away,SHOW,OPERATING,2026-08-15T23:00:00-04:00,2026-08-15T23:00:00-04:00,2026-08-15T04:04:23.174Z
2026-08-15T22:49:27.365526-04:00,2026-08-15,9221e600-6715-4b4f-b39a-00c318c00e03,Destination DescenDANCE Party at Mickey’s Not-So-Scary Halloween Party,SHOW,OPERATING,2026-08-14T19:00:00-04:00,2026-08-15T00:00:00-04:00,2026-08-14T04:03:35.973Z
2026-08-15T22:49:27.365526-04:00,2026-08-15,22b78ed9-a692-47cb-b6a4-6d1224ff67e3,Happily Ever After,SHOW,OPERATING,2026-08-15T22:00:00-04:00,2026-08-15T22:00:00-04:00,2026-08-15T04:04:23.047Z
2026-08-15T22:49:27.365526-04:00,2026-08-15,5c00cd7c-b207-4d9d-9c8c-a8d418fc5425,Mickey’s Boo-To-You Halloween Parade at Mickey's Not-So-Scary Halloween Party,SHOW,CLOSED,,,2026-08-15T04:04:23.306Z
2026-08-15T22:49:27.365526-04:00,2026-08-15,05ca3e51-580b-44ca-8046-7d3e57a6d248,Disney’s Not-So-Spooky Spectacular at Mickey's Not-So-Scary Halloween Party,SHOW,CLOSED,,,2026-08-15T04:04:23.241Z
2026-08-15T22:49:27.365526-04:00,2026-08-15,947edbee-85a5-4aa0-99f3-14c7de539542,Meet Jack Skellington and Sally at Mickey's Not-So-Scary Halloween Party,SHOW,CLOSED,,,2026-08-15T06:05:52.458Z
2026-08-15T22:49:27.365526-04:00,2026-08-15,5564113f-25b4-4646-ac35-aacf983e2fd6,Meet Mickey Mouse and Minnie Mouse at Mickey's Not-So-Scary Halloween Party,SHOW,CLOSED,,,2026-08-15T06:05:52.489Z
2026-08-15T22:49:27.365526-04:00,2026-08-15,4c31b3ad-5dc9-437f-ac1a-0fdff36a2818,Mickey's Magical Friendship Faire,SHOW,OPERATING,2026-08-15T10:00:00-04:00,2026-08-15T10:00:00-04:00,2026-08-15T04:04:23.030Z
2026-08-15T22:49:27.365526-04:00,2026-08-15,4c31b3ad-5dc9-437f-ac1a-0fdff36a2818,Mickey's Magical Friendship Faire,SHOW,OPERATING,2026-08-15T11:35:00-04:00,2026-08-15T11:35:00-04:00,2026-08-15T04:04:23.030Z
2026-08-15T22:49:27.365526-04:00,2026-08-15,4c31b3ad-5dc9-437f-ac1a-0fdff36a2818,Mickey's Magical Friendship Faire,SHOW,OPERATING,2026-08-15T12:45:00-04:00,2026-08-15T12:45:00-04:00,2026-08-15T04:04:23.030Z
2026-08-15T22:49:27.365526-04:00,2026-08-15,4c31b3ad-5dc9-437f-ac1a-0fdff36a2818,Mickey's Magical Friendship Faire,SHOW,OPERATING,2026-08-15T14:55:00-04:00,2026-08-15T14:55:00-04:00,2026-08-15T04:04:23.030Z
